Subdomain,IP,Cloudflare
awseb-managed-prod.ap-southeast-2.amazonaws.com,52.119.210.38,false
awseb-managed-prod.eu-central-1.amazonaws.com,52.94.204.141,false
awseb-managed-prod.eu-west-1.amazonaws.com,52.94.220.41,false
awseb-managed-prod.sa-east-1.amazonaws.com,52.94.206.2,false
awseb-managed-prod.us-east-1.amazonaws.com,52.94.232.81,false
awseb-managed-prod.us-west-1.amazonaws.com,176.32.118.250,false
awseb-managed-prod.us-west-2.amazonaws.com,52.94.212.74,false
awseb-managed-staging.us-west-2.amazonaws.com,52.94.208.93,false
awseb-xray-alpha.us-east-1.amazonaws.com,3.212.124.121,false
awseb-xray-beta.us-east-1.amazonaws.com,52.204.176.242,false
awseb-xray-staging.us-east-1.amazonaws.com,54.239.18.24,false
awseb-xray-staging.us-west-2.amazonaws.com,44.241.146.169,false
awsmp-buyerservice.us-east-1.amazonaws.com,72.21.195.63,false
beta.ecs.amazonaws.com,176.32.101.226,false
biltong.ap-northeast-1.ec2-services.amazonaws.com,52.95.34.90,false
biltong.ap-southeast-1.ec2-services.amazonaws.com,203.83.221.70,false
biltong.ap-southeast-2.ec2-services.amazonaws.com,54.240.193.75,false
biltong.eu-west-1.ec2-services.amazonaws.com,178.236.7.17,false
biltong.sa-east-1.ec2-services.amazonaws.com,177.72.244.15,false
biltong.us-east-1.ec2-services.amazonaws.com,207.171.162.254,false
biltong.us-gov-west-1.ec2-services.amazonaws.com,205.251.238.113,false
biltong.us-west-1.ec2-services.amazonaws.com,204.246.163.228,false
biltong.us-west-2.ec2-services.amazonaws.com,205.251.235.186,false
blueshift-mbos-test.us-west-2.amazonaws.com,52.94.208.62,false
boringintegers.us-west-1.amazonaws.com,204.246.163.160,false
budgets.amazonaws.com,3.226.138.63,false
ca-central-1.elasticmapreduce.amazonaws.com,52.94.96.84,false
caldera-alt.us-east-1.amazonaws.com,72.21.206.150,false
caldera.ap-south-1.amazonaws.com,52.95.80.135,false
caldera.eu-central-1.amazonaws.com,52.94.205.0,false
callback.cloudsearch-integ.eu-west-1.amazonaws.com,52.95.116.135,false
callback.cloudsearch-integ.us-east-1.amazonaws.com,52.46.132.245,false
callback.cloudsearch-integ.us-west-2.amazonaws.com,54.240.251.37,false
callback.cloudsearch-staging.eu-west-1.amazonaws.com,52.95.116.111,false
callback.cloudsearch-staging.us-east-1.amazonaws.com,52.46.128.45,false
callback.cloudsearch.ap-northeast-1.amazonaws.com,52.119.218.70,false
callback.cloudsearch.ap-northeast-2.amazonaws.com,52.95.195.73,false
